ID,Title,Category,Genre,Description,Details,PopularityScore,UserRating,SalesScore
31,"Frostbite","Movies & TV Shows","Movies / Adventure / Survival","Nature's cruel challenge...","leadactor:Hugh Jackman|...parentalrating:PG",81,4.1,83
32,"Temple's Secret","Movies & TV Shows","Movies / Action / Archaeological","Mysteries of ancient civilizations...","leadactor:Brendan Fraser|...parentalrating:PG-13",83,4.3,85
33,"Ocean's Whispers","Movies & TV Shows","Movies / Romantic / Beach","Love stories by the sea...","leadactor:Kate Winslet|...parentalrating:PG",87,4.4,89
34,"Forest's Echo","Movies & TV Shows","Movies / Mystery / Supernatural","Nature holds its secrets close...","leadactor:Ewan McGregor|...parentalrating:PG",79,4.0,81
35,"Fury's Path","Movies & TV Shows","Movies / Action / Martial Arts","A warrior's relentless journey...","leadactor:Jet Li|...parentalrating:R",86,4.4,88
36,"Galaxy's Edge","Movies & TV Shows","Movies / Sci-fi / Space Opera","Politics and power in the stars...","leadactor:Carrie Fisher|...parentalrating:PG-13",88,4.5,90
37,"Dunes of Time","Movies & TV Shows","Movies / Drama / Desert","Histories written in the sand...","leadactor:Oscar Isaac|...parentalrating:PG",85,4.3,87
38,"Soul's Symphony","Movies & TV Shows","Movies / Musical / Drama","Life's stories told in melodies...","leadactor:Lady Gaga|...parentalrating:PG",91,4.6,93
39,"Vampire's Kiss","Movies & TV Shows","Movies / Horror / Gothic","A love that's eternal...","leadactor:Gary Oldman|...parentalrating:R",79,3.9,81
40,"Tales of Valor","Movies & TV Shows","Movies / War / Historical","Heroes of the battlefield...","leadactor:Brad Pitt|...parentalrating:R",90,4.6,92
41,"Starship Odyssey","Movies & TV Shows","Movies / Sci-fi / Space Opera","A galactic saga of romance and rebellion...","leadactor:Zoe Saldana|...parentalrating:PG-13",91,4.7,93
42,"Moonlit Sonata","Movies & TV Shows","Movies / Romantic / Musical","A love story told in songs...","leadactor:Ryan Reynolds|...parentalrating:PG",85,4.4,87
43,"Echoes from the Abyss","Movies & TV Shows","Movies / Horror / Supernatural","When the dead speak...","leadactor:Jessica Chastain|...parentalrating:R",73,3.7,75
44,"Wings of Freedom","Movies & TV Shows","Movies / Drama / Biographical","A true story of determination...","leadactor:Tom Hanks|...parentalrating:PG",93,4.8,95
45,"Legacy of the Ancients","Movies & TV Shows","Movies / Adventure / Mythological","Quest for a legendary artifact...","leadactor:Harrison Ford|...parentalrating:PG-13",87,4.5,89
46,"Neon Streets","Movies & TV Shows","Movies / Action / Cyberpunk","In a city of tech and turmoil...","leadactor:Keanu Reeves|...parentalrating:R",84,4.3,86
47,"Desert Mirage","Movies & TV Shows","Movies / Drama / Historical","Secrets of the sand dunes...","leadactor:Cate Blanchett|...parentalrating:PG",82,4.2,84
48,"Realm of Illusion","Movies & TV Shows","Movies / Fantasy / Magical","A kingdom where magic is real...","leadactor:Emma Watson|...parentalrating:PG",89,4.6,91
49,"Silent Echoes","Movies & TV Shows","Movies / Mystery / Horror","Whispers from the past...","leadactor:Scarlett Johansson|...parentalrating:PG-13",62,4.0,65
50,"Ocean's Dance","Movies & TV Shows","Movies / Drama / Romance","Love against the backdrop of the sea...","leadactor:Leonardo DiCaprio|...parentalrating:PG",95,4.8,98
